A	@@@noun::e
mask	@@@noun::paraxA/nakAba/muKOtA/mAska@@@verb::CipAnA
masochism	@@@noun::pIdZA-suKa/parapIdZiwa-kAmukawA/paripIdZiwa-kAmukawA
masochist	@@@noun::pIdZA-suKaBogI
masochistic	@@@adjective::parapIdZiwa-kAmuka
mason	@@@noun::rAjagIra
masonry	@@@noun::rAjagIrI/rAjagirI
masque	@@@noun::lIlA-rUpaka/nAtaka
masquerade	@@@noun::svAzga/CaxmaveRa-samAroha/CaxmaveSa@@@verb::svAzga_racanA
mass	@@@adjective::Dera/aXikAMSa@@@noun::xravyamAna/XArmika_saMgIwa_saBA/samUha/mAtRA/mAtrA/Dera/AXikya/aXikAMSaa/parimANa/krIswa_yAga@@@verb::ekatRa_karanA/Dera_honA/ekawra_honA[karanA]
massacre	@@@noun::narasaMhAra/kadZI_hAra/hawyAkANda@@@verb::kadZI_parAjaya_xenA
massage	@@@noun::mAliSa@@@verb::mAliSa_karanA/malanA/CedZaKAnI_karanA
massaue	@@@noun::mAliSa_karane_vAlA
masses	@@@adjective::Dera_sArA@@@noun::janasamUha
masseur	@@@noun::mAliSa_vAlA
massif	@@@noun::giri-piMda/giripiNda
massive	@@@adjective::viSAla/BImakAya/BArI
massively	@@@adverb::viSAla_pEmAne_para
massiveness	@@@noun::viSAlawA
mast	@@@noun::maswUla/KamBA/eriyala/maswUla
mastectomy	@@@noun::swana-Salya
master	@@@adjective::kuSala@@@noun::viSAraxa/vijewA/SikRaka/SAsaka/praXAna/praBu/paNdiwa/mUlapawraka/mAstara/mAlika/kapwAna/jAnakAra/aXyApaka/aXyakRa/aXikArI/svAmI/uswAxa@@@verb::vaSIBUwa_karanA/praBuwva_prApwa_karanA/jFAna_prApwa_karanA/dakRawa_hasila_karanA
masterful	@@@adjective::kuSala
masterlyl	@@@adjective::kuSala
mastermind	@@@noun::yojanA_banAne_vAlA_vyakwi@@@verb::yojanA_banAnA
masterpiece	@@@noun::uwkqRta_kqwi
masterwork	@@@noun::uwkqRta_kqwi
mastery	@@@noun::pravINawA/aXikAra/pravINawA
masthead	@@@noun::muKapqRTa_para_samAcAra-pawra_kA_nAma/maswUla-SiKara/maswUla_SiKara
mastic	@@@noun::maswagI/leInumA_paxArWa/maswagI
masticate	@@@verb::cabAnA
mastication	@@@noun::carvaNa
mastiff	@@@noun::mEstiPZa
mastitis	@@@noun::swana_kI_sUjawa
masturbate	@@@verb::haswamEWuna_karanA
masturbation	@@@noun::haswamEWuna
mat	@@@adjective::niRpraBa/mElA/camakarahiwa@@@noun::mEta/kinArI/galIcA/catAI/CajjA@@@verb::guWA_honA/catAI_se_sajAnA
matador	@@@noun::sAMdZa_se_ladZane_vAlA/vqRahaMwA
match	@@@noun::xiyAsalAI/vivAha/vaXU/vara/mEca/mAcisa/jodZIxAra/jodZixAra/jodZaa/jodZA/barAbara/mukAbalA@@@verb::xiyAsalAI_banAnA/wulanA_karanA/vivAha_karanA/upayukwa_honA/samAna_bananA/prawixvaMxI_honA/milnA/milanA/jodZA_milnA/jodZA_bannA/barAbara_honA
matchbox	@@@noun::xiyAsalAI_kI_dibbI
matched	@@@adjective::takkara_kA
matchless	@@@adjective::anupama
matchmaker	@@@noun::Gataka
matchmaking	@@@noun::GatakEwI
matchstick	@@@noun::mAcisa_kI_wIlI
mate	@@@noun::upanAvAXyakRa/sAWI/sahAyaka/pawi-pawnI/jodZA/jodZa@@@verb::saMBoga_karanA/milAnA
material	@@@adjective::xEhika/Tosa/sWUla/sAMsArika/mUrwa/mahawvapUrNa/Enxrika/BOwika/AvaSyaka@@@noun::xravya/waWya/upakaraNa/sAmAna/sAmagrI/sAmAgra/paxArWa/kapadZA/xravyAwmaka@@@verb::ArWika_honA
materialisation	@@@noun::mUrwa_rUpa
materialise	@@@verb::prakata_honA/kAryAnviwa_honA
materialism	@@@noun::jadZavAxa/BOwikavAxa
materialist	@@@noun::jadZavAxI/BOwikavAxI
materialistic	@@@adjective::viRayI/BOwikawAvAxI/sAMsArika
materialization	@@@noun::mUrwa_rUpa
materialize	@@@verb::prakata_honA/kAryAnviwa_honA/mUrwarUpa_xenA
materially	@@@adverb::mahawvapUrNa_DaMga_se/ArWika_rUpa_se
maternal	@@@adjective::mAwqvaMSI/mAwqsulaBa/mAwq-/mAwqka
maternally	@@@adverb::mAwqsulaBa_DaMga_se
maternity	@@@noun::mAwqwva/mAwqsalaBa_komalawA/mAwqwva
matey	@@@adjective::miwravawa/miwravaw@@@noun::xoswa
math	@@@noun::gaNiwa
mathematical	@@@adjective::gaNiwIya/gaNiwa_kA/gaNiwa_sambanXI
mathematically	@@@adverb::gaNiwa_ke_anusAra
mathematician	@@@noun::gaNiwajFa
mathematics	@@@noun::gaNiwa
maths	@@@noun::hisAba/gaNiwa
matinee	@@@noun::xopahara_kA_Kela/sinemA_aparAhNa
mating	@@@noun::subaha_kI_prArWanA
matins	@@@noun::prAwaHkAlIna_prArWanA/subaha_kI_prArWanA
matman	@@@noun::pahalavAna/malla_yoxXA/kuSwIbAja
matress	@@@noun::gaxxA
matriarch	@@@noun::kula-mAwA/mAwq_sawwA
matriarchal	@@@adjective::mAwqsawwAwmaka
matriarchy	@@@noun::mAwqsawwA/mAwqka
matricide	@@@noun::mAwqhawyA/mAwqhaMwA
matriculate	@@@verb::mEtrika_pAsa_karanA/paMjIkqwa_karanA
matriculation	@@@noun::mEtrika_parIkRA
matrimonial	@@@adjective::vivAha-saMbaMXI
matrimony	@@@noun::vivAha/vEvAhika_jIvana
matrix	@@@noun::sAzcA/pariveSaa/metriksa/garBASaya/sAzcA
matron	@@@noun::vivAhiwa_mahilA/aXyakRA-narsa/aXIkRikA
matronly	@@@adjective::motI_prODZA_swrI_ke_samAna
matt	@@@adjective::camakarahiwa/niRpraBa
matte	@@@adjective::camakarahiwa
matter	@@@noun::wawva/viRaya/upAxAna/samasyA/sAmagrI/sAmagra/pIba/paxArWa/mAmalA/mahawva/kAraNa/cIja/BAra/xravya
matting	@@@noun::catAI_banAne_kA_sAmAna/catAI
mattins	@@@noun::prAwaHkAlIna_prArWanA
mattock	@@@noun::PZAvadZA
maturation	@@@noun::paripakvawA
mature	@@@adjective::xeya/prODa/paripakva/pUrNa_vikasiwa/pakA_huA
maturely	@@@adverb::paripakva_DaMga_se
maturity	@@@noun::paripakvawA
matzo	@@@noun::eka_waraha_kI_rotI
maudlin	@@@adjective::BAvuka/banAvatI_rUpa_se_BAvukawApUrNa/BAvuka
maul	@@@verb::KullamaKullA_AlocanA_karanA/kRawa-vikRawa_karanA/burI_nIyawa_se_CUnA/AsAnI_se_parAjiwa_kara_xenA/kRawavikRawa_karanA
maunder	@@@verb::bakavAsa_karanA
maurve	@@@adjective::bEMganI
mausoleum	@@@noun::samAXi/makabarA/makZabarA
mauve	@@@adjective::halkA_bEMganI@@@noun::halkA_bEMganI_raMga
maven	@@@noun::pravINa
maverick	@@@adjective::aparaMparAgawa@@@noun::vixrohI
mavin	@@@noun::pravINa
maw	@@@noun::peta/muzha/galA/uxara
mawkish	@@@adjective::awi_BAvuka
mawkishness	@@@noun::banAvatI_BAvukawA
max	@@@adjective::aXikawama
maxim	@@@noun::sUkwi/nIwi_vacana
maximal	@@@adjective::aXikawama/uccawama
maximisation	@@@noun::uccawama_sImA_waka_le_jAnA/mahawwama_mUlyAMkana
maximise	@@@verb::uccawama_sImA_waka_baDZAnA/aXikawama_lABa_uTAnA
maximization	@@@noun::uccawama_sImA_waka_le_jAnA/mahawwama_mUlyAMkana
maximize	@@@verb::uccawama_sImA_waka_baDZAnA/aXikawama_lABa_uTAnA/uccawama_sImA_waka_baDZAnA
maximum	@@@adjective::aXikawama@@@noun::aXikawama/mahawwama
may	@@@adverb::saMBavawaH@@@noun::maI@@@verb::sakanA/lenA/samBavawaH
mayapple	@@@noun::jaMgalI_viRAKamUla
maybe	@@@adverb::SAyaxa/samBavawaH
mayfly	@@@noun::alpAyu_makRikA
mayhem	@@@noun::KalabalI
mayo	@@@noun::meyo
mayonnaise	@@@noun::meyonejZa/pIlI_catanI
mayor	@@@noun::meyar/mahApOra
mayoral	@@@adjective::meyara_kA/mahApOrIya
mayoralty	@@@noun::meyara_kA_paxa/meyara_kA_kAryakAla/purAXyakRawA
mayoress	@@@noun::meyara_kI_pawnI/mahilA_meyara/mahApOra-pawnI/nigamAXyakRakI
maypole	@@@noun::nqwya-swaMBa/maIpola{sajjiwa_KambA_jisake_cAroM_ora_loga_maI_xivasa_pe_nqwya_karawe_hEM}
maythem	@@@noun::avyavasWA
maze	@@@noun::goraKaXaMXA/BUlaBulEyAz/BulaBulEyA/pahelI
mazurka	@@@noun::majZarkA/poliSa_nqwya{cAra_yA_ATa_jodoM_ke_lie}
me	@@@pronoun::muJako
mead	@@@noun::Sahaxa_kI_SarAba
meadow	@@@noun::GAsa_kA_mExAna/cArAgAha/GAsa_kA_mExAna
meager	@@@adjective::awyalpa
meagerly	@@@adverb::kiPZAyawa_se
meagre	@@@adjective::awyalpa/kama
meagrely	@@@adverb::kiPZAyawa_se
meal	@@@noun::Bojana_kA_samaya/Bojana/AtA/Bojana_kA_samaya
mealtime	@@@noun::Bojana_kA_samaya
mean	@@@adjective::xakRa/Osawa/nikqRta/nIca/lajjiwa/kaMjUsa/GatiyA/ganxI/anuxAra/kamInA@@@noun::maXyasWiwi/maXyamAna/Osawa/sAXana@@@verb::wAwparya_honA/uxxeSya_honA/raKanA/mAyane_raKanA/mawalaba_honA/icCA_karanA/honA/cAhanA/arWa_honA/aBiprAya_honA
meander	@@@noun::GumAva@@@verb::iXara-uXara_karawe_hue_Age_baDZanA/GUmawe_hue_bahanA/GumAvaxAra_mArga_se_ho_kara_Age_baDZanA/GUmanA/GumAvaxAra_rAswe_para_calanA{naxI_kA}/xiSAhIna_GUmanA
meandering	@@@adjective::GumAvaxAra
meanderings	@@@noun::niruxxeSya_bAw/GumAvaxAra_rAswA
meanie	@@@noun::nIca_vyakwi
meaning	@@@adjective::arWapUrNa@@@noun::uxxeSya/mawalaba/arWa
meaningful	@@@adjective::sArWaka/mahawvapUrNa/boXagamya/aBiprAyapUrNa/arWapUrNa
meaningfully	@@@adverb::arWapUrNa_DaMga_se/arWapUrNa_rUpa_se
meaningfulness	@@@noun::arWapUrNawA
meaningless	@@@adjective::nirarWaka/mawvahIna/mahawvahIna/arWahIna
meaninglessly	@@@adverb::nirarWaka_rUpa_se
meaninglessness	@@@noun::nirarWakawA
meanly	@@@adverb::xarixrawApUrvaka/nIcawApUrvaka/kaTorawApUrvaka/kaMjUsI_se
meanness	@@@noun::nIcawA/kaMjUsI
means	@@@noun::Xana-xOlawa/wAwparya/upAya/sAXana/Aya/pEsA
meantime	@@@adverb::isa_bIca/isI_bIca
meanwhile	@@@adverb::isI_xOrAna/isa_bIca/isI_xOrAna
meany	@@@noun::nIca_vyakwi
measles	@@@noun::KasarA
measly	@@@adjective::nagaNya/awyalpa/bahuwa_kama_mAwrA_meM
measurable	@@@adjective::parimeya/gOra_karane_lAyaka/mApane_yogya
measurably	@@@adverb::paryApwa_mAwrA_meM
measure	@@@adjective::kAPZI@@@noun::wAla/viXeyaka/upAya/sImA/saMgIwa_praviXi/pEmAnA/pariNAma/parigaNana/nApa/mAwrA/mAtrA/maryAxA/mApaxaNxa/mApaxaNda/mApaka_yaMwra/mApaka/mApa/laya-wAla/kArrvAI/kArravAI/apavarwaka/anupawa/Akalana@@@verb::wOlanA/nApanA/mUlyAMkana_karanA/mApanA/laMbAI_honA/AMkanA/AkAra_honA/nirNaya_karanA/pawA_lagAnA/nApa_kA_honA/nApa_wola_karanA
measured	@@@adjective::napA-wulA
measurement	@@@noun::mApana/lambAI/nApa
meat	@@@noun::sAra/mAMsa/KAxya/guxA/goSwa/Bojana/mAzsa/pramuKa_aMSa
meatball	@@@noun::mAMsa_kA_koPZwA/Cote_tukadoM_meM_kate_mOYMsa_ke_gole
meaty	@@@adjective::sAragarBiwa/mAMsaxAra/mAMsala/gUxexAra/goSwa_ke_samAna
mecca	@@@noun::makkA{musalamAnoM_kA_wIrWa}
mechanic	@@@noun::yaMwra_vixyA/yaMwravijFAna/prakriyA/mekEnika/mEkEnika/kArIgara
mechanical	@@@adjective::yAMwrika/yaMwravaw/yAMwrika
mechanically	@@@adverb::yaMwravaw_DAMga_se/maSIna_kI_sahAyawA_se/yAMwrika_rUpa_se
mechanics	@@@noun::yAMwrikI/prakriyA/yaMwravijFAna
mechanisation	@@@noun::yaMwrIkaraNa
mechanise	@@@verb::yaMwracAliwa_honA/maSInIkaraNa
mechanism	@@@noun::yaMwravinyAsa/racanAwaMwra/prakriyA/warIkA
mechanisms	@@@noun::prakriyA
mechanistic	@@@adjective::saMvexanAhIna/kriyAviXika/yAMwrikIya
mechanistically	@@@adverb::yaMwravaw_DaMga_se
mechanization	@@@noun::yaMwrIkaraNa
mechanize	@@@verb::yaMwracAliwa_honA
medal	@@@noun::paxaka/medala/paxaka
medalist	@@@noun::paxaka_pAne_vAlA_vyakwi
medallion	@@@noun::golAkAra_paxaka/badA_paxaka
medallist	@@@noun::paxaka_pAne_vAlA_vyakwi
meddle	@@@verb::xaKala_xenA/hAWa_lagAnA/kAma_meM_haswakRepa_karanA
meddler	@@@noun::xaKalaMxAjZa/kAma_meM_haswakRepa_karane_vAlA
meddlesome	@@@adjective::tAzga_adZAU/haswakRepa_karane_meM_lIna_rahanevAlA
meddling	@@@adjective::haswakRepI@@@noun::haswakRepa
media	@@@noun::mIdiyA/mAXyama/saMcAra_mAXyama
mediaeval	@@@adjective::maXyakAlIna
median	@@@adjective::maXyasWa/maXya@@@noun::maXyareKA/maXya_mUlya/aMwaHsWala/maXyasWa
mediate	@@@verb::maXyasWawA_karanA/maXyasWa_kA_kAma_karanA
mediating	@@@noun::maXyasWawA
mediation	@@@noun::maXyasWawA/mAXyama/cinwana/bIcabacAva_karanA
mediator	@@@noun::maXyasWa/bIcabacAva_karane_vAlA
medic	@@@noun::wipawiyA/PZOjI_daktara/daktara/AyurvijFAna_kA_vixyArWI/dAktara
medicaid	@@@noun::medikeda{garIboM_ko_xavA_evaz_upacAra_upalabXa_karAne_kI_eka_yojanA}
medical	@@@adjective::cikiwsIya/AyurvijFAna_saMbanXI@@@noun::cikiwsIya_parIkRA/cikiwsA/AyurvijFAna
medically	@@@adverb::cikiwsASAswra_ke_anusAra
medicament	@@@noun::xavAxArU
medicated	@@@adjective::xavA_yukwa
medication	@@@noun::ORaXi/xavA_kA_prayoga
medicinal	@@@adjective::roganASaka/ORaXIya/roganASaka
medicine	@@@noun::xavAI/xavA/ORaXi/cikiwsA_SAstra/cikiwsA_paxXawi/cikiwsA/ORaXI
medick	@@@noun::wipawiyA
medico	@@@noun::daktara/AyurvijFAna_kA_CAwra/cikiwsaka
medieval	@@@adjective::maXyayugIna@@@noun::maXyakAlIna
mediocre	@@@adjective::sAXAraNa
mediocrity	@@@noun::sAXAraNa_koti_kA_vyakwi/sAXAraNa_koti
meditate	@@@verb::XyAna_karanA/kA_irAxA_karanA/wapasyA_karanA
meditating	@@@adjective::XyAnI/XyAnayukwa/XyAnasWa/XyAnaniRTa/XyAnamagna
meditation	@@@noun::XyAna/ciMwana/sAXanA
meditative	@@@adjective::vicAramagna/socane_meM_magna
meditator	@@@noun::XyAnI
mediterranean	@@@noun::BUmaXyasAgara
medium	@@@adjective::maJOlA/maXya@@@noun::maXya-sWAna/mAXyamaa
medley	@@@noun::saMmiSraNa/miSriwa_wErAkI/miSragIwa/gIwa-samUha/alaga_alaga_kA_mela{cIjoM_yA_vyakwiyoM}
meek	@@@adjective::xabbU/vinamra/xabbU/ahaMkAra_rahiwa@@@noun::ahaMkArarahiwa_vyakwi
meekly	@@@adverb::xabbUpana_se/cupacApa
meekness	@@@noun::xabbUpana/namrawA
meet	@@@noun::sammelana/saBA@@@verb::uwwara_xenA/upasWiwa_rahanA/sparSa_karanA/pUrA_karanA/purA_karanA/pUrA_honA/pariciwa_honA/paricaya_karanA/milanA/jodZanA/honA/BugawAna_karanA/BMta_karanA/anuBava_karanA/se_BeMta_karanA/sAmanA_karanA/pUrA_kara_pAnA
meeting	@@@noun::sammelana/saMgama/saBA/mulAkAwa/mItiMga/milana/BidZnwa/aXiveSana/bETaka
mega	@@@adjective::jZabaraxaswa/bahuwa_badZA
megabyte	@@@noun::megAbAita/kampyUtara_kI_smqwi_kA_mApa
megahertz	@@@noun::megAhartjZa/rediyo_PrIkvEMsI_kA_mApa
megalith	@@@noun::mahApARANa/badZA_pawWara
megalithic	@@@adjective::mahA_pARANa_saMbaMXI/badZe_pawWaroM_kA_banA_huA
megalomania	@@@noun::ahaMkAronmAxa/kI_wIvra_lAlasA
megalomaniac	@@@adjective::ahaMkAronmAxa_saMbaMXI@@@noun::ahaMkAronmAxI/ke_lie_pAgala
megaphone	@@@noun::BoMp/BoMpU
megastar	@@@noun::mahAna_siwArA/badZa_siwArA{manoraMjana_ke_kRewra_meM}
megaton	@@@noun::megAtana/bahuwa_badZA_XamAkA
megatonne	@@@noun::megAtana
megrims	@@@noun::viRAxa
melamine	@@@noun::momajAmA
melancholia	@@@noun::mAnasika_rugNawA{uxAsI_ke_kAraNa}
melancholic	@@@adjective::uxAsI_kI_avasWA
melancholy	@@@adjective::nirASAjanaka/uxAsI_kI_avasWA@@@noun::nirASA/gaharI_uxAsI
melange	@@@noun::miSraNa
melanin	@@@noun::melenina
melanoma	@@@noun::milEnomA/camadZI_para_eka_gaharA_xAga{jisase_kEMsara_ho_sakawA_hE}
meld	@@@verb::miSraNa_karanA
melee	@@@noun::haMgAmA/saMBramiwa_BIdZa
meliorist	@@@noun::suXAraka
mellifluous	@@@adjective::maXura
mellow	@@@adjective::wanAva_mukwa/suhAvanA/narama/mqxu/xayAlu@@@verb::SarAba_ko_paripakva_karanA/paripakva_honA/narma_ho_jAnA/narama_karanA
melodic	@@@adjective::muKya_gIwa_se_saMbaxXa/maXura
melodious	@@@adjective::maXura/surIlA
melodiously	@@@adverb::surIle_DaMga_se
melodiousness	@@@noun::surIlApana
melodrama	@@@noun::sanasanIKejZa_nAtaka/nAtaka/uwwejanAyukwa_nAtaka
melodramatic	@@@adjective::awinAtakIya
melodramatically	@@@adverb::awinAtakIya_DaMga_se/awinAtakIyawA_se
melody	@@@noun::maXura_gIwa/maXura_saMgIwa
melon	@@@noun::warabUja
melt	@@@verb::XIre-XIre_Gula_jAnA/XIre-XIre_AzKoM_se_oJala_honA/piGalnA/piGalAnA/piGalanA/kama_honA/galanA/piGalAnA[piGalanA]
meltdown	@@@noun::paramANu_xurGatanA
melting	@@@adjective::sahAnuBUwi_jagAwA_huA/piGalawA_huA
member	@@@noun::xala/tukadZA/saxasyA/saxasya/sAWI/sahayOgI/nAgarika/ikAI/hissA/DAzcA/aMga
membership	@@@noun::saxasyawA/saxasya-varga/saxasya-saMKyA/saxasyawA
membrane	@@@noun::JillI
membranous	@@@adjective::JillI_kA
memento	@@@noun::niSAnI
memo	@@@noun::memo/jFApana/purjZA
memoir	@@@noun::saMsamaraNa/jIvanI
memoirs	@@@noun::vqwAMwa
memorabilia	@@@noun::smqwi_cihna/smaraNIya_vaswuez
memorable	@@@adjective::smaraNIya/avismaraNIya/smaraNIya
memorably	@@@adverb::yAxagAra_DaMga_se/avismaraNIya_DaMga_se
memorandum	@@@noun::jFApana/purjZA/jFApana
memorial	@@@noun::smAraka
memorialise	@@@verb::yAxagAra_xivasa_manAnA
memorise	@@@verb::yAxa_karanA
memorize	@@@verb::yAxa_karanA
memory	@@@noun::yAxaxASwa/yAxa/smqwi-kAla/smqwi/smaraNa-Sakwi/smaraNaSakwi/memorI/yAxaxASwa
menace	@@@adjective::hAnikAraka@@@noun::XamakI/kaRtakArI_vyakwi/kaRtakArI{vyakwi_yA_vaswu}
menacing	@@@adjective::darAvanA
menacingly	@@@adverb::darAvane_DaMga_se
menadione	@@@noun::menEdiyana
menage	@@@noun::parivAra_ke_saxasya
menagerie	@@@noun::vanya_paSu_samUha/cidZiyAGara/jAnavaroM_kA_samUha
mend	@@@noun::raPZU/pEbanda/marammawI/marammawa@@@verb::TIka_karanA/TIka_honA/svasWa_honA/suXAranA/sInA/raPZU_lagAnA/pEbanda_lagAnA/mitAnA/marammawa_karanA/banAnA/TIka_karanA
mendacious	@@@adjective::JUTA
mendacity	@@@noun::miWyAvAxiwA
mender	@@@noun::banAne_vAlA/TIka_karane_vAlA
mendicant	@@@adjective::BikRu@@@noun::BikRuka/BiKArI/BIkRu
mending	@@@noun::marammawI/marammawa_kiye_jAne_vAe_vaswra/marammawa
menfolk	@@@noun::puruRa
menial	@@@adjective::wucCa/CotA_kAma@@@noun::nOkara
meningitis	@@@noun::wAnikA_SoWa/garxana_wodZa_buKAra
menopausal	@@@adjective::rajonivqwwi_saMbaMXI
menopause	@@@noun::rajonivqwwi/mAsika_Xarma_kA_baMxa_ho_jAnA
menses	@@@noun::mAsika_Xarma
menstrual	@@@adjective::mAsika-/mAsika_Xarma_se_saMbanXiwa
menstruate	@@@verb::mAsika_Xarma_honA
menstruation	@@@noun::mAsika_Xarma
menswear	@@@noun::puruRa-pariXAna/AxamiyoM_ke_kapade
mental	@@@adjective::ximAgZI/ximAgI/mAnasika
mentality	@@@noun::mAnasikawA/mAnasika_xaSA
mentally	@@@adjective::mAnasika_rUpa_se@@@adverb::mAnasika_rUpa_se
menthol	@@@noun::puxInA_sawwa/puxIne_kA_sawa
mention	@@@noun::varNana/carcA@@@verb::ulleKa_karanA/nirxeSa_karanA/kahanA/ulleKa_karanA
mentioned	@@@adjective::kaWiwa
mentor	@@@noun::anuBavI_parAmarSaxAwA/viSvasanIya_salAhakAra
menu	@@@noun::vyaMjana-sUcI/menyU/menU/AhArikA
meow	@@@noun::myAUz-myAUz
mephitis	@@@noun::xurgaMXa
mercantile	@@@adjective::vANijyIya/vANijyikIya
mercenary	@@@adjective::loBI@@@noun::kirAye_kA_sEnika
merchandise	@@@noun::uwpAxa/sOxA/vyApArI_mAla@@@verb::pracAra_karake_becanA
merchandising	@@@noun::sOxA_karanA/bikrI_uwpAxa
merchant	@@@noun::sOxAgara/vyApArI
merchantable	@@@adjective::vyApArayogya/vikreya/vyApAra_yogya
merciful	@@@adjective::xayAlu/sOBAgyapUrNa/xayAlu
mercifully	@@@adjective::xayAluwApUrvaka@@@adverb::sOBAgya_se/xayApUrvaka
merciless	@@@adjective::niRTura/kaTora
mercilessly	@@@adverb::nirxayawApUrvaka/niRTurawApUrvaka/nirxayawA_se
mercilessness	@@@noun::krUrawA
mercurial	@@@adjective::sakriya/pArAyukwa/asWira/pArA_yukwa_xavA/weja
mercury	@@@noun::pArA/buXagraha
mercy	@@@noun::xayA/kqpA/karuNA/xayA
mere	@@@adjective::mAwra/kevala@@@noun::JIla/poKarA
merely	@@@adjective::kevala@@@adverb::mAwra
meretricious	@@@adjective::BadZakIlA/banAvatI_SoBA_yukwa
merge	@@@verb::vilaya_ho_jAnA/milAnA/mila/vilaya_karanA
merger	@@@noun::vilaya/vilayana
meridian	@@@noun::BUmaXya_reKA/xopahara
meringue	@@@noun::merEMga_keka/merEMga/eka_prakAra_kI_miTAI
merino	@@@noun::BedZa_kI_eka_jAwi
merit	@@@noun::yogyawA/viSeRawA/yogyawA@@@verb::sarAhanA
merited	@@@adjective::yogya
meriting	@@@adjective::yogya/lAyaka
meritorious	@@@adjective::sarAhanIya
merlin	@@@noun::CotA_bAja
mermaid	@@@noun::jalaparI
merrily	@@@adverb::prasannawApUrvaka/beXyAnI_se
merriment	@@@noun::AnanXa/Ananxa
merry	@@@adjective::ramaNIya/prasanna/pramuxiwa/KUbasUrawa/jiMZxAxila/hazsodZa/harRapurNa/AnMxakara/AnanxapUrNa
merrymaker	@@@noun::gulaCarre_udZAne_vAlA
merrymaking	@@@noun::maswI/Amoxa-pramoxa/KuSI_manAnA
mesa	@@@noun::capate_SiKara_vAlI_pahAdZI/DaluA_paTAra
mescaline	@@@noun::eka_waraha_kI_naSIlI_xavA
mesh	@@@noun::jAlI/jAla@@@verb::PZita_honA/PazsanA/jAla_meM_PazsanA[PazsAnA]
meshed	@@@adjective::jAlInumA/eka-xUsare_meM_PazsA_huA
mesmeric	@@@adjective::sammohaka/maMwramugXa_kara_xene_vAlA/sammohaka
mesmerise	@@@verb::sammohiwa_karanA
mesmerised	@@@adjective::maMwramugXa
mesmerising	@@@adjective::maMwramugXa_kara_xene_vAl
mesmerize	@@@verb::sammohiwa_karanA
mesmerized	@@@adjective::maMwramugXa
mesmerizing	@@@adjective::maMwramugXa_kara_xene_vAlA
mess	@@@adjective::gaMxA/gadZabadZa/aswavyawsa@@@noun::mesa/mala/BojanAlaya/gadZabadZI/JaMJata/gaMxagI@@@verb::KarAba_karanA
message	@@@noun::xaswAveja/sucanA/sanxeSa/saMxeSa/mahawvapUrNa_sUcanA/Kabara/bAwa/samAcAra@@@verb::saMxeSa_BejanA
messenger	@@@noun::xUwa/sanxeSa_vAhaka/saMxeSavAhaka
messiah	@@@noun::mukwixAwA
messianic	@@@adjective::masIhAI
messily	@@@adverb::gaMxe_warIke_se
messiness	@@@noun::gaMxagI
messrs	@@@noun::sarvaSrI
messy	@@@adjective::gaMxA/avyavsWiwa/PElA_huA
metabolic	@@@adjective::cayApacayI
metabolism	@@@noun::cayApacaya/rasa_prakriyA
metal	@@@adjective::XAwvika@@@noun::XAwu/rela_kI_patarI/piGalA_kAMca/XAwu
metalanguage	@@@noun::nirUpaka_BARA/BARA
metalled	@@@adjective::XAwu_Avqwa
metallic	@@@adjective::XAwu_kA@@@noun::XAwu_jEsA
metallurgic	@@@adjective::XAwu_vijFAna_k
metallurgical	@@@adjective::XAwu_vijFAna_k
metallurgist	@@@noun::XAwu_vijFAnI
metallurgy	@@@noun::XAwu_vijFAna
metalwork	@@@noun::XAwuSilpa-kqwi/XAwuSilpa/XAwu_kA_kAma/XAwu_para_kArya
metalworker	@@@noun::XAwu_karmakAra
metamorphose	@@@noun::baxalAva@@@verb::baxala_xenA/baxala_jAnA
metamorphosis	@@@noun::baxalAva/AkAra_baxalanA
metaphor	@@@noun::rUpakAlaMkAra/alaMkAra
metaphorical	@@@adjective::lAkRaNika
metaphorically	@@@adverb::lAkRaNika_rUpa_se
metaphysical	@@@adjective::wawvamImAMsA-saMbaMXI/sExXAMwika/aBOwika
metaphysics	@@@noun::wawvamImAMsA/wawvavijFAna
mete	@@@verb::BoganA
meteor	@@@noun::ulkA
meteoric	@@@adjective::wvariwa/ulkA_viRayaka
meteorite	@@@noun::ulkApiMda/tUtA_huA_wArA
meteorological	@@@adjective::mOsama-saMbaMXI
meteorologist	@@@noun::mOsama_vEjFAnika
meteorology	@@@noun::mOsama_vijFAna
meter	@@@noun::mItara/mApaka@@@verb::mItara_se_nApanA
meth	@@@noun::meWa
methadone	@@@noun::mEWadana
methamphetamine	@@@noun::meWEMPZetAmIna
methane	@@@noun::mIWena/mIwena/xalaxala_kI_vAyu
methanol	@@@noun::meWanOla
method	@@@adjective::vyavasWiwa@@@noun::warIkA/praNAlI/paxXawi/niyamiwawA/kramabaxXwA/DaMga/warIkA
methodical	@@@adjective::viXivaw/suvyavasWiwa/vyavasWiwa/warIke_kA
methodically	@@@adverb::kramabaxXa_DaMga_se
methodicalness	@@@noun::suvyavasWA
methodism	@@@noun::niyamavAxa
methodological	@@@adjective::praNAlI_saMbaMXI
methodologically	@@@adverb::suvyavasWiwa_DaMga_se
methodologist	@@@noun::niyamavAxI
methodology	@@@noun::praNAlI_vijFAna
meths	@@@noun::meWaliwa_spirita
meticulosity	@@@noun::sawarkawA
meticulous	@@@adjective::sawarka/awisAvaXAna
meticulously	@@@adverb::sawarkawApUrvaka
meticulousness	@@@noun::sawarkawA
